test_name,accuracy,f1_score,precision,recall,auc,confusion_matrix,run_i
p9,0.676829268292683,0.8047882136279927,0.6733436055469953,1.0,0.9624985632634296,"[[  7 212]
 [  0 437]]",3
p10,0.724960254372019,0.8250758341759352,0.7022375215146299,1.0,0.9344778635436074,"[[ 48 173]
 [  0 408]]",3
p11,0.9673405909797823,0.9763246899661782,0.9537444933920705,1.0,0.9995381062355658,"[[189  21]
 [  0 433]]",3
p12,0.9643962848297214,0.9737142857142858,0.9681818181818181,0.9793103448275862,0.9931688184343848,"[[197  14]
 [  9 426]]",3
p13,0.989648033126294,0.9936948297604036,1.0,0.9874686716791979,0.9995226160639695,"[[ 84   0]
 [  5 394]]",3
p14,0.985781990521327,0.9897610921501707,0.981941309255079,0.9977064220183486,0.9987426069948308,"[[189   8]
 [  1 435]]",3
p15,0.9891472868217054,0.9919816723940436,1.0,0.9840909090909091,0.9999334811529934,"[[205   0]
 [  7 433]]",3
p16,0.90527950310559,0.9341963322545846,0.8765182186234818,1.0,0.9980845637730811,"[[150  61]
 [  0 433]]",3
p17,0.9274924471299094,0.9472527472527472,0.9209401709401709,0.9751131221719457,0.9807795146030441,"[[183  37]
 [ 11 431]]",3
p18,0.901386748844376,0.9228915662650603,0.9503722084367245,0.8969555035128806,0.972107939321054,"[[202  20]
 [ 44 383]]",3
p19,0.9323076923076923,0.9524838012958964,0.9092783505154639,1.0,0.9995551649686989,"[[165  44]
 [  0 441]]",3
p20,0.6898470097357441,0.8031774051191527,0.6760772659732541,0.9891304347826086,0.9377622964579486,"[[ 41 218]
 [  5 455]]",3
p21,0.9970631424375918,0.9977728285077951,0.9955555555555555,1.0,1.0,"[[231   2]
 [  0 448]]",3
p22,0.6587412587412588,0.7939189189189189,0.6695156695156695,0.975103734439834,0.7748561964632342,"[[  1 232]
 [ 12 470]]",3
p23,0.9904240766073872,0.9927310488058151,0.991701244813278,0.9937629937629938,0.9992349272349271,"[[246   4]
 [  3 478]]",3
p24,0.902834008097166,0.9324577861163227,0.8734622144112478,1.0,0.9990104561797011,"[[172  72]
 [  0 497]]",3
p25,0.6951724137931035,0.8039041703637977,0.6884498480243161,0.9658848614072495,0.8784315031982942,"[[ 51 205]
 [ 16 453]]",3
p26,0.6883852691218131,0.7884615384615384,0.7130434782608696,0.8817204301075269,0.643099986614911,"[[ 76 165]
 [ 55 410]]",3
p27,0.6378378378378379,0.7214137214137215,0.7199170124481328,0.7229166666666667,0.6946314102564103,"[[125 135]
 [133 347]]",3
p28,0.628133704735376,0.7715996578272027,0.6545718432510885,0.9395833333333333,0.2274947478991597,"[[  0 238]
 [ 29 451]]",3
p29,0.31836195508586523,0.06181818181818182,0.37777777777777777,0.033663366336633666,0.5121247839069621,"[[224  28]
 [488  17]]",3
p30,0.9080932784636488,0.932527693856999,0.9007782101167315,0.9665970772442589,0.962455114822547,"[[199  51]
 [ 16 463]]",3
p31,0.807741935483871,0.8703220191470845,0.7800312012480499,0.984251968503937,0.8573608776431036,"[[126 141]
 [  8 500]]",3
p1,0.9780701754385965,0.983127109111361,0.9954441913439636,0.9711111111111111,0.9990408357075025,"[[232   2]
 [ 13 437]]",4
p2,0.9446935724962631,0.9565217391304348,0.9926829268292683,0.9229024943310657,0.9970163503998091,"[[225   3]
 [ 34 407]]",4
p3,0.6302931596091205,0.59245960502693,1.0,0.42091836734693877,0.8130860452289025,"[[222   0]
 [227 165]]",4
p4,0.873581847649919,0.8976377952755905,1.0,0.8142857142857143,0.9944766739182983,"[[197   0]
 [ 78 342]]",4
p5,0.9968404423380727,0.9976525821596244,0.9953161592505855,1.0,0.9999886877828054,"[[206   2]
 [  0 425]]",4
p6,0.9843505477308294,0.9885844748858448,0.9796380090497737,0.9976958525345622,0.9993930538383725,"[[196   9]
 [  1 433]]",4
p7,0.7507246376811594,0.8386491557223265,0.7339901477832512,0.9781181619256017,0.8627642490209522,"[[ 71 162]
 [ 10 447]]",4
p8,0.9432515337423313,0.9594742606790801,0.9260042283298098,0.9954545454545455,0.9921204974271012,"[[177  35]
 [  2 438]]",4
p9,0.676829268292683,0.8047882136279927,0.6733436055469953,1.0,0.9624985632634296,"[[  7 212]
 [  0 437]]",4
p10,0.724960254372019,0.8250758341759352,0.7022375215146299,1.0,0.9344778635436074,"[[ 48 173]
 [  0 408]]",4
p11,0.9673405909797823,0.9763246899661782,0.9537444933920705,1.0,0.9995381062355658,"[[189  21]
 [  0 433]]",4
p12,0.9643962848297214,0.9737142857142858,0.9681818181818181,0.9793103448275862,0.9931688184343848,"[[197  14]
 [  9 426]]",4
p13,0.989648033126294,0.9936948297604036,1.0,0.9874686716791979,0.9995226160639695,"[[ 84   0]
 [  5 394]]",4
p14,0.985781990521327,0.9897610921501707,0.981941309255079,0.9977064220183486,0.9987426069948308,"[[189   8]
 [  1 435]]",4
p15,0.9891472868217054,0.9919816723940436,1.0,0.9840909090909091,0.9999334811529934,"[[205   0]
 [  7 433]]",4
p16,0.90527950310559,0.9341963322545846,0.8765182186234818,1.0,0.9980845637730811,"[[150  61]
 [  0 433]]",4
p17,0.9274924471299094,0.9472527472527472,0.9209401709401709,0.9751131221719457,0.9807795146030441,"[[183  37]
 [ 11 431]]",4
p18,0.901386748844376,0.9228915662650603,0.9503722084367245,0.8969555035128806,0.972107939321054,"[[202  20]
 [ 44 383]]",4
p19,0.9323076923076923,0.9524838012958964,0.9092783505154639,1.0,0.9995551649686989,"[[165  44]
 [  0 441]]",4
p20,0.6898470097357441,0.8031774051191527,0.6760772659732541,0.9891304347826086,0.9377622964579486,"[[ 41 218]
 [  5 455]]",4
p21,0.9970631424375918,0.9977728285077951,0.9955555555555555,1.0,1.0,"[[231   2]
 [  0 448]]",4
p22,0.6587412587412588,0.7939189189189189,0.6695156695156695,0.975103734439834,0.7748561964632342,"[[  1 232]
 [ 12 470]]",4
p23,0.9904240766073872,0.9927310488058151,0.991701244813278,0.9937629937629938,0.9992349272349271,"[[246   4]
 [  3 478]]",4
p24,0.902834008097166,0.9324577861163227,0.8734622144112478,1.0,0.9990104561797011,"[[172  72]
 [  0 497]]",4
p25,0.6951724137931035,0.8039041703637977,0.6884498480243161,0.9658848614072495,0.8784315031982942,"[[ 51 205]
 [ 16 453]]",4
p26,0.6883852691218131,0.7884615384615384,0.7130434782608696,0.8817204301075269,0.643099986614911,"[[ 76 165]
 [ 55 410]]",4
p27,0.6378378378378379,0.7214137214137215,0.7199170124481328,0.7229166666666667,0.6946314102564103,"[[125 135]
 [133 347]]",4
p28,0.628133704735376,0.7715996578272027,0.6545718432510885,0.9395833333333333,0.2274947478991597,"[[  0 238]
 [ 29 451]]",4
p29,0.31836195508586523,0.06181818181818182,0.37777777777777777,0.033663366336633666,0.5121247839069621,"[[224  28]
 [488  17]]",4
p30,0.9080932784636488,0.932527693856999,0.9007782101167315,0.9665970772442589,0.962455114822547,"[[199  51]
 [ 16 463]]",4
p31,0.807741935483871,0.8703220191470845,0.7800312012480499,0.984251968503937,0.8573608776431036,"[[126 141]
 [  8 500]]",4
